Census year,Add,Shop,Seating type,Number of seats
2012,65W Toorak Road SOUTH YARRA 3141,Cafe Fawkner,Seats - Outdoor,15
2012,"Shop 1, Ground 0, 369-0 Royal Parade PARKVILLE 3052",Oshin Sushi Bar,Seats - Indoor,20
2012,53 Royal Parade PARKVILLE 3052,Cafe Royale,Seats - Outdoor,25
2012,"Shop 1, 20 Flemington Road PARKVILLE 3050",Isabella,Seats - Indoor,80
2012,"Shop 1, Ground , 52 Cade Way PARKVILLE 3052",Corner Cafe & Convenience Store,Seats - Outdoor,6
2012,"Tenancy 0, Ground 0, 50-0 Flemington Road PARKVILLE 3052",Degani Bakery Cafe,Seats - Outdoor,50
2012,"Tenancy 0, Ground 0, 50-0 Flemington Road PARKVILLE 3052",Degani Bakery Cafe,Seats - Indoor,200
2012,"Tenancy 2, Ground 0, 50-0 Flemington Road PARKVILLE 3052",Aruba Espresso Cafe,Seats - Indoor,32
2012,"Tenancy 0, Ground 0, 50-0 Flemington Road PARKVILLE 3052",Shuji Sushi,Seats - Indoor,32
2012,"Tenancy 0, Ground 0, 50-0 Flemington Road PARKVILLE 3052",Zinc,Seats - Indoor,34
2012,"Restaurant ,  Elliott Avenue PARKVILLE 3052",Lakeside Bistro,Seats - Indoor,118
2012,"Shop 23, 542 Footscray Road WEST MELBOURNE 3003",Cafe No 2,Seats - Indoor,68
2012,"Ground , 167 Spencer Street DOCKLANDS 3008",Hungry Jacks,Seats - Outdoor,32
2012,"Shop 213, Level 1, 201 Spencer Street DOCKLANDS 3008",The Coffee Club,Seats - Indoor,70
2012,"Shop 214, Level 1, 201 Spencer Street DOCKLANDS 3008",Cafe Caldera,Seats - Indoor,70
2012,"Part Ground , 655 Collins Street DOCKLANDS 3008",Espresso Hub,Seats - Indoor,60
2012,"Part Ground , 655 Collins Street DOCKLANDS 3008",Espresso Hub,Seats - Outdoor,42
2012,"Unit 1, 198 Harbour Esplanade DOCKLANDS 3008",Melbourne Bay Restaurant,Seats - Outdoor,10
2012,"Unit 1, 198 Harbour Esplanade DOCKLANDS 3008",Melbourne Bay Restaurant,Seats - Indoor,42
2012,"Unit 2, 198 Harbour Esplanade DOCKLANDS 3008",Harbour Coffee House,Seats - Indoor,16
2012,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",Arena View Restaurant And Cafe,Seats - Outdoor,16
2012,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",The Medallion Club,Seats - Indoor,950
2012,"Part Ground , 140 Harbour Esplanade DOCKLANDS 3008",Locker Room Cafe,Seats - Outdoor,20
2012,120 Harbour Esplanade DOCKLANDS 3008,Harbour Cafe,Seats - Outdoor,12
2012,120 Harbour Esplanade DOCKLANDS 3008,Harbour Cafe,Seats - Indoor,55
2012,768A Bourke Street DOCKLANDS 3008,L'Amore Pizza & Restaurant,Seats - Indoor,52
2012,744 Bourke Street DOCKLANDS 3008,Urban Burger,Seats - Outdoor,20
2012,"Part Ground , 71-79 Bourke Street DOCKLANDS 3008",Degani Bakery Cafe,Seats - Outdoor,16
2012,"Part Ground , 71-79 Bourke Street DOCKLANDS 3008",Degani Bakery Cafe,Seats - Indoor,40
2012,"Unit 3, 22 Waterview Walk DOCKLANDS 3008",Gloria Jeans Coffees Watergate,Seats - Indoor,43
2012,2A Waterview Walk DOCKLANDS 3008,Mee Hub Noodle and Sushi Cafe,Seats - Indoor,42
2012,"Shop , Part Level 5, 700 Collins Street DOCKLANDS 3008",Summit Cafe & Bar,Seats - Outdoor,40
2012,"Shop , Part Level 5, 700 Collins Street DOCKLANDS 3008",Summit Cafe & Bar,Seats - Indoor,90
2012,"Shop 24, Level 2, 717 Bourke Street DOCKLANDS 3008",Cavallino Cafe,Seats - Indoor,70
2012,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Cafenatics,Seats - Outdoor,40
2012,"Part Ground , 737 Bourke Street DOCKLANDS 3008",Cafenatics,Seats - Indoor,56
2012,82 Bourke Street DOCKLANDS 3008,Platform 28,Seats - Indoor,370
2012,"Tenancy 3, Part 800-0 Bourke Street DOCKLANDS 3008",Shinsei Sushi,Seats - Indoor,36
2012,"Shop 7, 800 Bourke Street DOCKLANDS 3008",Messini,Seats - Indoor,92
2012,"Tenancy 3, 800 Bourke Street DOCKLANDS 3008",In A Rush,Seats - Outdoor,30
2012,"Tenancy 3, 800 Bourke Street DOCKLANDS 3008",In A Rush,Seats - Indoor,56
2012,"Shop 8, 800 Bourke Street DOCKLANDS 3008",Harbour Noodles & Sushi,Seats - Indoor,20
2012,"Shop 9, 818 Bourke Street DOCKLANDS 3008",La Tazzina,Seats - Indoor,58
2012,"Shop 1, 818 Bourke Street DOCKLANDS 3008",Squires Loft Dockland,Seats - Indoor,102
2012,"Shop 1, 818 Bourke Street DOCKLANDS 3008",Squires Loft Dockland,Seats - Outdoor,34
2012,"Shed 9, Part  Harbour Esplanade DOCKLANDS 3008",Va Bene Pizzeria,Seats - Indoor,180
2012,"Shop 1, 825 Bourke Street DOCKLANDS 3008",Coffee Gauge,Seats - Indoor,68
2012,"Kiosk 2, 63 Bourke Street DOCKLANDS 3008",D G Expresso,Seats - Indoor,36
2012,"Kiosk 1, 67 Bourke Street DOCKLANDS 3008",Shinsei Fish & Sushi Bar,Seats - Indoor,72
2012,"Shop 3, 833 Collins Street DOCKLANDS 3008",Degani @ Docklands,Seats - Indoor,66
2012,"Shop 15, 833 Collins Street DOCKLANDS 3008",Cafe Gruppo,Seats - Indoor,40
2012,"Shop 1, Ground , 800 Collins Street DOCKLANDS 3008",Aki Sushi,Seats - Outdoor,12
2012,"Shop 1, Ground , 800 Collins Street DOCKLANDS 3008",Aki Sushi,Seats - Indoor,72
2012,"Shop 3, Ground , 800 Collins Street DOCKLANDS 3008",The Beanstalk Cafe,Seats - Outdoor,57
2012,"Tenancy 4, 54 Rakaia Way DOCKLANDS 3008",Bhoj On Docklands,Seats - Indoor,110
2012,"Tenancy 11, 17-19 Rakaia Way DOCKLANDS 3008",Rejuice Bar & Cafe,Seats - Indoor,15
2012,"Tenancy 6, 50 Rakaia Way DOCKLANDS 3008",Oscars Table,Seats - Indoor,70
2012,28 Newquay Promenade DOCKLANDS 3008,Barsabor,Seats - Indoor,60
2012,42 Newquay Promenade DOCKLANDS 3008,Man Mo,Seats - Outdoor,44
2012,23 Newquay Promenade DOCKLANDS 3008,Achelya Cafe,Seats - Indoor,120
2012,70 Caravel Lane DOCKLANDS 3008,Dock 31,Seats - Indoor,180
2012,62 Caravel Lane DOCKLANDS 3008,"Mischas Pizza, Pasta & Salad",Seats - Outdoor,70
2012,"Restaurant 1, 45 Newquay Promenade DOCKLANDS 3008",Berth Restaurant,Seats - Outdoor,34
2012,55B Newquay Promenade DOCKLANDS 3008,Livebait Docklands,Seats - Indoor,85
2012,55B Newquay Promenade DOCKLANDS 3008,Livebait Docklands,Seats - Outdoor,40
2012,55A Newquay Promenade DOCKLANDS 3008,Mecca Bah,Seats - Outdoor,30
2012,4-6 Newquay Promenade DOCKLANDS 3008,Newquay International Buffet,Seats - Outdoor,68
2012,4-6 Newquay Promenade DOCKLANDS 3008,Newquay International Buffet,Seats - Indoor,130
2012,"Shop 119, Level 1, 427 Docklands Drive DOCKLANDS 3008",Kobe Jones,Seats - Outdoor,15
2012,"Shop 16, 439 Docklands Drive DOCKLANDS 3008",James Squire,Seats - Indoor,106
2012,403 Docklands Drive DOCKLANDS 3008,Embassy Lounge,Seats - Indoor,170
2012,"Ground , 5 Docklands Drive DOCKLANDS 3008",Fancy Fillings Waterfront,Seats - Indoor,22
2012,123 Docklands Drive DOCKLANDS 3008,Dlands Cafe,Seats - Outdoor,42
2012,"Ground , 5 Docklands Drive DOCKLANDS 3008",Fancy Fillings Waterfront,Seats - Outdoor,8
2012,"Level 1, 10-11 Star Crescent DOCKLANDS 3008",Gold Leaf Harbour View Restaurant Pty Ltd,Seats - Indoor,200
2012,9 Star Crescent DOCKLANDS 3008,Kebabbque,Seats - Outdoor,40
2012,"Ground , 11 Star Crescent DOCKLANDS 3008",San Churro,Seats - Indoor,64
2012,"Ground , 10 Star Crescent DOCKLANDS 3008",Nina's Rosticceria Pasticceria,Seats - Indoor,46
2012,"Ground , 1 Star Circus DOCKLANDS 3008",Nando's,Seats - Outdoor,50
2012,"Ground , 3 Star Circus DOCKLANDS 3008",The Coffee Club Waterfront City,Seats - Outdoor,110
2012,4 Star Circus DOCKLANDS 3008,Healthy Habits,Seats - Outdoor,44
2012,"Part Level 3, 370 Docklands Drive DOCKLANDS 3008",College Cafe Docklands,Seats - Indoor,40
2012,31 Melrose Street NORTH MELBOURNE 3051,Cafe Innov-8,Seats - Outdoor,4
2012,520 Macaulay Road KENSINGTON 3031,Sumos Noodle & Sushi Bar,Seats - Outdoor,6
2012,512 Macaulay Road KENSINGTON 3031,Kitcch Cafe,Seats - Outdoor,8
2012,202 Bellair Street KENSINGTON 3031,The Premises Espresso,Seats - Indoor,32
2012,202 Bellair Street KENSINGTON 3031,The Premises Espresso,Seats - Outdoor,14
2012,190 Bellair Street KENSINGTON 3031,Couple Cinos,Seats - Indoor,14
2012,190 Bellair Street KENSINGTON 3031,Couple Cinos,Seats - Outdoor,22
2012,188 Bellair Street KENSINGTON 3031,Fruits of Passion,Seats - Outdoor,28
2012,170 Bellair Street KENSINGTON 3031,The Corner On Bellair,Seats - Outdoor,17
2012,61-77 Stubbs Street KENSINGTON 3031,Seis Uno,Seats - Outdoor,20
2012,61-77 Stubbs Street KENSINGTON 3031,Seis Uno,Seats - Indoor,20
2013,"Part Ground , 525 Flinders Street MELBOURNE 3000",Northbanc Cafe,Seats - Indoor,50
2013,551 Flinders Street MELBOURNE 3000,Nandos Northbank,Seats - Outdoor,6
2013,"Vault , 1-9 Princes Walk MELBOURNE 3000",Riverland Bar,Seats - Outdoor,220
2013,"Tenancy 22, 2 Swanston Street MELBOURNE 3000",Chocolate Buddha,Seats - Indoor,93
2013,"Tenancy 20, 2 Swanston Street MELBOURNE 3000",Cafe Chinotto,Seats - Outdoor,180
2013,"Tenancy 21, 2 Swanston Street MELBOURNE 3000",Bokchoy Tang,Seats - Indoor,150
2013,"Tenancy 21, 2 Swanston Street MELBOURNE 3000",Bokchoy Tang,Seats - Outdoor,36
2013,"Tenancy 30, 2 Swanston Street MELBOURNE 3000",Time Out Cafe,Seats - Outdoor,140
2013,"Tenancy 26, 2 Swanston Street MELBOURNE 3000",Arintji,Seats - Indoor,75
2013,"Tenancy 28, 2 Swanston Street MELBOURNE 3000",Feddish,Seats - Outdoor,250
2013,"Ground , 485 Flinders Lane MELBOURNE 3000",Cafe Rema,Seats - Indoor,108
2013,"Ground , 485 Flinders Lane MELBOURNE 3000",Cafe Rema,Seats - Outdoor,8
2013,"Shop 1, Ground , 474 Flinders Street MELBOURNE 3000",Riverside Deli & Coffee House,Seats - Indoor,50
2013,"Restaurant , 1 William Street MELBOURNE 3000",Williams Bar Cafe,Seats - Outdoor,16
2013,"Shop 3, 15 William Street MELBOURNE 3000",Hudson's Coffee,Seats - Indoor,26
2013,"Part Ground , 15-33 William Street MELBOURNE 3000",Hotel Food Drink,Seats - Indoor,110
2013,"Part Ground , 389 Market Street MELBOURNE 3000",KCL (Koury's Coffee Lounge),Seats - Indoor,43
2013,"Part Ground , 22 William Street MELBOURNE 3000",Shiraaz at CBD Fine Indian Cuisine,Seats - Indoor,90
2013,"Shop , Ground , 17-19 Elizabeth Street MELBOURNE 3000",City Pizza,Seats - Indoor,36
2013,"Ground , 27-29 Elizabeth Street MELBOURNE 3000",Nando's,Seats - Indoor,84
2013,349 Flinders Lane MELBOURNE 3000,Bluestone Downstairs,Seats - Indoor,140
2013,"Shop 1, Ground , 300 Flinders Street MELBOURNE 3000",Buffet Brasserie,Seats - Indoor,80
2013,"Shop 2, 34 Queen Street MELBOURNE 3000",Cafe 34,Seats - Outdoor,16
2013,"Shop 2, 28-32 Elizabeth Street MELBOURNE 3000",KFC,Seats - Indoor,52
2013,274 Flinders Street MELBOURNE 3000,Old Beijing Dumpling Restaurant,Seats - Indoor,20
2013,23-25 Flinders Lane MELBOURNE 3000,Degraves Espresso,Seats - Outdoor,35
2013,23-25 Flinders Lane MELBOURNE 3000,Degraves Espresso,Seats - Indoor,31
2013,27-31 Flinders Lane MELBOURNE 3000,The Quarter,Seats - Outdoor,28
2013,33-275 Flinders Lane MELBOURNE 3000,Xpressomondo,Seats - Outdoor,18
2013,33-275 Flinders Lane MELBOURNE 3000,Xpressomondo,Seats - Indoor,22
2013,15 Flinders Street MELBOURNE 3000,Grill'd,Seats - Outdoor,84
2013,15 Flinders Street MELBOURNE 3000,Grill'd,Seats - Indoor,14
2013,13 Flinders Street MELBOURNE 3000,Sea Salt,Seats - Indoor,26
2013,"Shop 10,  Flinders Street MELBOURNE 3000",Kim Sing Chinese Restaurant,Seats - Outdoor,40
2013,"Shop 10,  Flinders Street MELBOURNE 3000",Kim Sing Chinese Restaurant,Seats - Indoor,79
2013,"Shop 8,  Flinders Street MELBOURNE 3000",Jolly J's,Seats - Outdoor,34
2013,"Ground , 9-11 Swanston Street MELBOURNE 3000",McDonalds,Seats - Indoor,180
2013,15-19 Swanston Street MELBOURNE 3000,Hungry Jack's Pty Ltd,Seats - Indoor,277
2013,"Shop 3, Ground , 37 Swanston Street MELBOURNE 3000",Subway,Seats - Indoor,43
2013,"Unit 1, LwrGround , 187 Flinders Lane MELBOURNE 3000",Ezard,Seats - Indoor,75
2013,"Part Ground , 196-196 Flinders Street MELBOURNE 3000",Careers Cafe,Seats - Indoor,40
2013,"Shop 1, 170 Flinders Street MELBOURNE 3000",Nando's,Seats - Indoor,67
2013,"Lot , Ground , 27 Russell Street MELBOURNE 3000",Two Fingers,Seats - Outdoor,9
2013,11 Exhibition Street MELBOURNE 3000,Wagamama,Seats - Indoor,80
2013,95-101 Flinders Lane MELBOURNE 3000,Lot 7,Seats - Outdoor,16
2013,95-101 Flinders Lane MELBOURNE 3000,Lot 7,Seats - Indoor,220
2013,"Gnd & Mezz , 125 Flinders Lane MELBOURNE 3000",Chin Chin Restaurant,Seats - Indoor,100
2013,"Ground , 134 Flinders Street MELBOURNE 3000",Desi Dhaba,Seats - Indoor,90
2013,61 Flinders Lane MELBOURNE 3000,Cecconi's Cantina,Seats - Outdoor,12
2013,61 Flinders Lane MELBOURNE 3000,Cecconi's Cantina,Seats - Indoor,180
2013,"Shop 2, Ground , 40 Flinders Lane MELBOURNE 3000",Cocoa Espresso,Seats - Indoor,18
2013,"Part Level 1, 1 Spring Street MELBOURNE 3000",The Truffula Seed Cafe,Seats - Indoor,36
2013,1 Spring Street MELBOURNE 3000,Nama Nama,Seats - Outdoor,20
2013,55 Flinders Lane MELBOURNE 3000,Cafe 53,Seats - Outdoor,10
2013,55 Flinders Lane MELBOURNE 3000,Cafe 53,Seats - Indoor,22
2013,"Part Ground , 595 Collins Street MELBOURNE 3000",The Commuters Cafe & Bar,Seats - Indoor,60
2013,Part 495 Collins Street MELBOURNE 3000,Merchant Osteria Veneta,Seats - Indoor,140
2013,"Shop 7, 495 Collins Street MELBOURNE 3000",Eclipse Coffee,Seats - Outdoor,10
2013,Part 495-503 Collins Street MELBOURNE 3000,Alluvial Restaurant,Seats - Indoor,110
2013,"Part Ground , 525 Collins Street MELBOURNE 3000",Nashi Panini,Seats - Indoor,60
2013,525 Collins Street MELBOURNE 3000,Mr Huang Jin,Seats - Indoor,86
2013,Part 70 King Street MELBOURNE 3000,Esspressino,Seats - Outdoor,70
2013,Part 70 King Street MELBOURNE 3000,Hare & Grace,Seats - Outdoor,35
2013,42-44 King Street MELBOURNE 3000,Rare Steakhouse King Street,Seats - Indoor,120
2013,"Part Ground , 395 Collins Street MELBOURNE 3000",The Old Chamber,Seats - Outdoor,4
2013,"Unit 2, Ground , 60 Market Street MELBOURNE 3000",Alexi's On Market Restaurant,Seats - Indoor,80
2013,"Unit 1, Ground , 50 Market Street MELBOURNE 3000",Coffee Kingdom,Seats - Indoor,34
2013,"Part Ground , 51 Queen Street MELBOURNE 3000",Queen St Espresso,Seats - Indoor,25
2013,"Part Ground , 367 Collins Street MELBOURNE 3000",Cafenatics 367,Seats - Outdoor,56
2013,"Part Ground , 367 Collins Street MELBOURNE 3000",Cafenatics 367,Seats - Indoor,52
2013,"Part Ground , 367 Collins Street MELBOURNE 3000",Zero Gravity Cafe Bar,Seats - Indoor,86
2013,354 Collins Street MELBOURNE 3000,The Overdraft Deli,Seats - Indoor,40
2013,"Part Ground , 367 Collins Street MELBOURNE 3000",Urban Deli,Seats - Outdoor,28
2013,15 Collins Street MELBOURNE 3000,The Deanery,Seats - Indoor,130
2013,302 Flinders Lane MELBOURNE 3000,Northeast China Family,Seats - Indoor,124
2013,12 Flinders Lane MELBOURNE 3000,Robot Sushi & Bar,Seats - Outdoor,12
2013,"Shop 4, Ground , 227 Collins Street MELBOURNE 3000",Om Vegetarian,Seats - Indoor,48
2013,"Part Ground , 271 Collins Street MELBOURNE 3000",Lindt Chocolat Cafe,Seats - Indoor,38
2013,10 Collins Street MELBOURNE 3000,Maccaroni Trattoria Italiana,Seats - Indoor,26
2013,"Shop 20, Ground , 161 Collins Street MELBOURNE 3000",Green Cat Cafe,Seats - Indoor,160
2013,189 Collins Street MELBOURNE 3000,Box On Collins Restaurant,Seats - Outdoor,20
2013,"Shop 3, 207 Collins Street MELBOURNE 3000",Three Below,Seats - Outdoor,40
2013,Part 205 Collins Street MELBOURNE 3000,Allegro Restaurant,Seats - Outdoor,20
2013,"Shop 5, 100 Collins Street MELBOURNE 3000",Barista 101,Seats - Outdoor,10
2013,"Shop 5, 100 Collins Street MELBOURNE 3000",Barista 101,Seats - Indoor,38
2013,"Basement , 115-119 Collins Street MELBOURNE 3000",Brooks,Seats - Indoor,96
2013,"Part Level 35, 25-45 Collins Street MELBOURNE 3000",No35,Seats - Indoor,130
2013,"Shop 66, 45 Collins Street MELBOURNE 3000",Tazio Birraria & Pizzeria,Seats - Indoor,60
2013,"Shop 50, 45 Collins Street MELBOURNE 3000",Inoteca,Seats - Indoor,35
2013,"Shop 21, 45 Collins Street MELBOURNE 3000",Great Space Cafe,Seats - Outdoor,27
2013,"Shop 52, 45 Collins Street MELBOURNE 3000",Asian Pavillion,Seats - Indoor,14
2013,"Ground , 618A Collins Street MELBOURNE 3000",Minx Coffee Bar,Seats - Indoor,30
2013,"Ground , 618B Collins Street MELBOURNE 3000",Choix Creperie Cafe,Seats - Indoor,16
2013,"Shop 1, 600 Collins Street MELBOURNE 3000",Cafe Eurasia,Seats - Outdoor,14
2013,"Shop 1, 600 Collins Street MELBOURNE 3000",Cafe Eurasia,Seats - Indoor,34
2013,"Shop 1, 608-610 Collins Street MELBOURNE 3000",J T's Fine Catering,Seats - Indoor,30
2013,"Shop 1, 608-610 Collins Street MELBOURNE 3000",J T's Fine Catering,Seats - Outdoor,10
2013,"Unit 5, Ground 0, 601-0 Little Collins Street MELBOURNE 3000",Suri Suri,Seats - Indoor,38
2013,"Shop 10, Ground , 530-534 Collins Street MELBOURNE 3000",Mr Mason,Seats - Outdoor,75
2013,"Shop 1, 520 Collins Street MELBOURNE 3000",Hermes Fine Foods,Seats - Indoor,42
2013,"Shop 6, 500 Collins Street MELBOURNE 3000",Kartina Kartel,Seats - Outdoor,22
2013,"Shop 5, 500 Collins Street MELBOURNE 3000",Cafenatics On Church,Seats - Indoor,47
2013,"Shop 6, 500 Collins Street MELBOURNE 3000",Kartina Kartel,Seats - Indoor,100
2013,"Basement , 8 Bank Place MELBOURNE 3000",Treviso,Seats - Indoor,85
2013,"Basement , 8 Bank Place MELBOURNE 3000",Treviso,Seats - Outdoor,20
2013,"Unit 2, Ground , 446-452 Collins Street MELBOURNE 3000",Macchiato On Collins,Seats - Indoor,38
2013,445 Collins Street MELBOURNE 3000,Benito's,Seats - Indoor,60
2013,"Unit 1, Ground , 416-420 Collins Street MELBOURNE 3000",Subway,Seats - Indoor,22
2013,433 Little Collins Street MELBOURNE 3000,Dikstein's Corner Bar,Seats - Outdoor,36
2013,433 Little Collins Street MELBOURNE 3000,Dikstein's Corner Bar,Seats - Indoor,66
2013,23 Little Collins Street MELBOURNE 3000,Syracuse Restaurant - Bar,Seats - Outdoor,20
2013,"Part Ground , 459 Little Collins Street MELBOURNE 3000",Terrace Deli,Seats - Outdoor,38
2013,"Ground , 376 Collins Street MELBOURNE 3000",Bellini,Seats - Indoor,140
2013,"Mezzanine , 360 Collins Street MELBOURNE 3000",Zuffa Cafe,Seats - Indoor,140
2013,16 Elizabeth Street MELBOURNE 3000,Barista Espress Cafe,Seats - Indoor,72
2013,12 Elizabeth Street MELBOURNE 3000,Vanbra Cafe,Seats - Outdoor,9
2013,30 Little Collins Street MELBOURNE 3000,Golden Chili's,Seats - Outdoor,8
2013,10 Little Collins Street MELBOURNE 3000,Nori Nori,Seats - Indoor,45
2013,"Shop 7, 353 Little Collins Street MELBOURNE 3000",Sotto e Sopra,Seats - Outdoor,10
2013,"Shop 5, 353 Little Collins Street MELBOURNE 3000",Fugazza,Seats - Outdoor,9
2013,"Shop 4, 353 Little Collins Street MELBOURNE 3000",Harry Joy's Kitchen,Seats - Indoor,40
2013,"Shop 5, 353 Little Collins Street MELBOURNE 3000",Fugazza,Seats - Indoor,6
2013,"Shop 217, 260 Collins Street MELBOURNE 3000",Nando's,Seats - Indoor,80
2013,84-86 Elizabeth Street MELBOURNE 3000,Hudsons Elizabeth Street,Seats - Outdoor,8
2013,7 Little Collins Street MELBOURNE 3000,San Paolo Solarino,Seats - Outdoor,22
2013,29 Little Collins Street MELBOURNE 3000,Dinkum Pies,Seats - Outdoor,24
2013,33 Little Collins Street MELBOURNE 3000,Cafe Segovia,Seats - Outdoor,16
2013,"Shop 10, Ground , 93-107 Collins Street MELBOURNE 3000",Caffe Mediterraneum,Seats - Indoor,34
2013,123 Swanston Street MELBOURNE 3000,Crossways Food For Life,Seats - Indoor,100
2013,"Gnd & Flr1 , 7 Alfred Place MELBOURNE 3000",Comme,Seats - Outdoor,20
2013,"Shop , Part 120-120 Collins Street MELBOURNE 3000",Gadjo Cafe,Seats - Outdoor,8
2013,"Shop 3, Podium , 120 Collins Street MELBOURNE 3000",Elements Catering,Seats - Outdoor,88
2013,"Part Ground 0, 121-127 Little Collins Street MELBOURNE 3000",Harry's At Stamford,Seats - Indoor,200
2013,"Shop 2, Ground , 20 Collins Street MELBOURNE 3000",Paris End Cafe,Seats - Outdoor,18
2013,"Part Ground , 8 Collins Street MELBOURNE 3000",Egon's Conditorei Cafe and Bakery,Seats - Indoor,34
2013,"Ground , 22 Ridgway Place MELBOURNE 3000",Liaision,Seats - Outdoor,9
2013,"Ground , 1-3 Spring Street MELBOURNE 3000",Cafe Excello,Seats - Indoor,32
2013,"Ground , 1-3 Spring Street MELBOURNE 3000",Cafe Excello,Seats - Outdoor,28
2013,9-11 Spring Street MELBOURNE 3000,Coffee Exchange,Seats - Outdoor,18
2013,13 Spring Street MELBOURNE 3000,Mamma's Boy,Seats - Outdoor,14
2013,13 Spring Street MELBOURNE 3000,Mamma's Boy,Seats - Indoor,18
2013,"Part Ground , 673 Bourke Street MELBOURNE 3000",Kinfolk Cafe,Seats - Outdoor,8
2013,"Front Ground , 565 Bourke Street MELBOURNE 3000",Romano's Coffee,Seats - Indoor,25
2013,"Shop 2, Ground , 601 Bourke Street MELBOURNE 3000",The Lobby 601 Espresso Bar & Bakery,Seats - Outdoor,15
2013,"Shop 1, Ground , 601 Bourke Street MELBOURNE 3000",Shuji Sushi,Seats - Indoor,80
2013,"Part Ground , 140-146 King Street MELBOURNE 3000",Spice N Pepper,Seats - Indoor,75
2013,"Shop 5, 540 Little Collins Street MELBOURNE 3000",Mangrove Jacks,Seats - Indoor,42
2013,"Shop 9, 532 Little Collins Street MELBOURNE 3000",Chestnut Exchange Cafe,Seats - Outdoor,16
2013,430 Little Collins Street MELBOURNE 3000,Bistro Vue,Seats - Indoor,110
2013,416-418 Queen Street MELBOURNE 3000,Gifts @ CQ,Seats - Indoor,60
2013,"Part Ground , 114 William Street MELBOURNE 3000",Trios Cafe,Seats - Indoor,60
2013,385 Bourke Street MELBOURNE 3000,Bite,Seats - Indoor,25
2013,385 Bourke Street MELBOURNE 3000,Cafe 385,Seats - Indoor,90
2013,5 Little Collins Street MELBOURNE 3000,STREAT,Seats - Outdoor,9
2013,"Part Ground , 360 Little Collins Street MELBOURNE 3000",Gills Diner,Seats - Indoor,70
2013,21-27 McKillop Street MELBOURNE 3000,Red Spice Road,Seats - Outdoor,8
2013,"Basement , 20-22 McKillop Street MELBOURNE 3000",Spontini Restaurant,Seats - Outdoor,8
2013,"Shop 13, 309-325 Bourke Street MELBOURNE 3000",Grasshoppers Feast,Seats - Outdoor,22
2013,"Shop 6, 318-322 Little Collins Street MELBOURNE 3000",Pho 102 Saigon,Seats - Indoor,22
2013,"Shop 8, 318-322 Little Collins Street MELBOURNE 3000",Chokolait,Seats - Outdoor,30
2013,"Shop 3, 306 Little Collins Street MELBOURNE 3000",Gordons Cafe & Bar,Seats - Outdoor,22
2013,147 Swanston Street MELBOURNE 3000,Meet Fresh,Seats - Indoor,100
2013,147 Swanston Street MELBOURNE 3000,Meet Fresh,Seats - Outdoor,16
2013,181 Russell Street MELBOURNE 3000,Cafe Tono,Seats - Outdoor,30
2013,181 Russell Street MELBOURNE 3000,Cafe Tono,Seats - Indoor,45
2013,"Shop 18, 239 Bourke Street MELBOURNE 3000",Chatterbox Curry & Noodle Bar,Seats - Outdoor,18
2013,"Shop 5, 239 Bourke Street MELBOURNE 3000",Starbucks,Seats - Outdoor,20
2013,198-202 Little Collins Street MELBOURNE 3000,Stellini Bar,Seats - Indoor,32
2013,6 Little Collins Street MELBOURNE 3000,Sarti Restaurant & Bar,Seats - Outdoor,36
2013,"Ground , 146 Swanston Street MELBOURNE 3000",Pie Face 146 Swanston St,Seats - Indoor,30
2013,140 Swanston Street MELBOURNE 3000,L'Incontro,Seats - Indoor,20
2013,30 Russell Place MELBOURNE 3000,Neapoli Wine Bar,Seats - Outdoor,20
2013,"Part Ground , 131-135 Bourke Street MELBOURNE 3000",Heirloom,Seats - Outdoor,20
2013,"Part Ground , 131-135 Bourke Street MELBOURNE 3000",Heirloom,Seats - Indoor,113
2013,143-145 Bourke Street MELBOURNE 3000,Izakya Hachibeh,Seats - Indoor,80
2013,147-149 Bourke Street MELBOURNE 3000,Gyoza Douraku,Seats - Indoor,80
2013,"Ground , 169 Bourke Street MELBOURNE 3000",Tom Turtle,Seats - Indoor,37
2013,"Ground , 138-144 Bourke Street MELBOURNE 3000",Edoya Japanese Restaurant,Seats - Indoor,47
2013,20-26 Coromandel Place MELBOURNE 3000,Oli Levi,Seats - Indoor,20
2013,"Shop , 10 Exhibition Street MELBOURNE 3000",Dumpling King,Seats - Outdoor,24
2013,"Shop , 10 Exhibition Street MELBOURNE 3000",Dumpling King,Seats - Indoor,32
2013,"Shop 1, Ground , 121 Exhibition Street MELBOURNE 3000",ES-X Cafe,Seats - Outdoor,16
2013,14-16 Exhibition Street MELBOURNE 3000,Mabrown Curry House,Seats - Indoor,40
2013,"Shop , 6 Exhibition Street MELBOURNE 3000",The Unspoken Travels of Oscar Ryan Espresso Bar,Seats - Indoor,24
2013,"Shop , 6 Exhibition Street MELBOURNE 3000",The Unspoken Travels of Oscar Ryan Espresso Bar,Seats - Outdoor,23
2013,121 Exhibition Street MELBOURNE 3000,Urban Deli SX1,Seats - Indoor,98
2013,"Shop , 111 Bourke Street MELBOURNE 3000",Nashi,Seats - Indoor,31
2013,"Shop , 5 Bourke Street MELBOURNE 3000",Noodle Box,Seats - Outdoor,24
2013,"Shop , 111 Bourke Street MELBOURNE 3000",Nashi,Seats - Outdoor,33
